values
7.088669133536882428033239993979834937280271302929
177.03527670182413384782582406353320982604255359618
8748.2501495800495059989519939472933725776251641325
717078.62713199391300298067695613863879798009328755
87923566.150078490957030074589956136683107713446544
15064585011.260967335349091474355774783586108277736
3436666059933.3057445398417621590248534552057946091
1006873847265367.570701889347764598890083574541164
368398534398436247.06602539721224409662495750782373
164613059595062450177.1455207282257675188115766079
2.6784669715933158663258378298627444723131878431604e-157
1.9804146185673432622249187783053993436887464415128e-189
1.5748502321128338098838592308982778975719214555862e-144
1.0479849456047357239889279856077517899575878802379e-102
1.2960250890722717838563254256956085535968052406196e-64
